rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
179.0,Sri Lanka,SRI,73.0,73.0,6,AFC,2014-06-05
180.0,Solomon Islands,SOL,70.0,75.0,8,OFC,2014-06-05
181.0,Seychelles,SEY,66.0,66.0,5,CAF,2014-06-05
182.0,Curacao,CUW,65.0,65.0,5,CONCACAF,2014-06-05
183.0,Yemen,YEM,61.0,63.0,4,AFC,2014-06-05
184.0,Mauritius,MRI,57.0,55.0,4,CAF,2014-06-05
185.0,South Sudan,SSD,47.0,10.0,-16,CAF,2014-06-05
186.0,Bahamas,BAH,40.0,40.0,0,CONCACAF,2014-06-05
187.0,Mongolia,MNG,35.0,35.0,0,AFC,2014-06-05
188.0,Fiji,FIJ,34.0,47.0,6,OFC,2014-06-05
189.0,Samoa,SAM,32.0,45.0,6,OFC,2014-06-05
190.0,Vanuatu,VAN,28.0,55.0,10,OFC,2014-06-05
190.0,Cambodia,CAM,28.0,28.0,0,AFC,2014-06-05
192.0,Brunei Darussalam,BRU,26.0,26.0,1,AFC,2014-06-05
192.0,Tonga,TGA,26.0,26.0,1,OFC,2014-06-05
192.0,Timor-Leste,TLS,26.0,26.0,1,AFC,2014-06-05
195.0,US Virgin Islands,VIR,23.0,23.0,1,CONCACAF,2014-06-05
196.0,Papua New Guinea,PNG,21.0,21.0,1,OFC,2014-06-05
196.0,Cayman Islands,CAY,21.0,21.0,1,CONCACAF,2014-06-05
198.0,British Virgin Islands,VGB,18.0,18.0,1,CONCACAF,2014-06-05
198.0,American Samoa,ASA,18.0,18.0,1,OFC,2014-06-05
200.0,Andorra,AND,16.0,16.0,1,UEFA,2014-06-05
201.0,Eritrea,ERI,11.0,11.0,1,CAF,2014-06-05
202.0,Macau,MAC,8.0,8.0,0,AFC,2014-06-05
202.0,Somalia,SOM,8.0,8.0,0,CAF,2014-06-05
204.0,Djibouti,DJI,6.0,6.0,0,CAF,2014-06-05
205.0,Cook Islands,COK,5.0,5.0,0,OFC,2014-06-05
206.0,Anguilla,AIA,3.0,3.0,0,CONCACAF,2014-06-05
207.0,San Marino,SMR,0.0,0.0,0,UEFA,2014-06-05
207.0,Bhutan,BHU,0.0,0.0,0,AFC,2014-06-05
207.0,Turks and Caicos Islands,TCA,0.0,0.0,0,CONCACAF,2014-06-05
